date,places
22.07.2024,"Александрия, Балчик, Бистрец, Божурово, Габер, Горичане, Горун, Градини, Добрево, Добрич, Дропла, Житен, Загорци, Земенци, Зимница, Зограф, Каварна, Кладенци, Котленци, Крупен, Крушари, Ловчанци, Ломница, Люляково, Миладиновци, Оброчище, Овчарово, Огняново, Паскалево, Победа, Пчеларово, Росеново, Сираково, Сливенци, Сноп, Стефан Караджа, Телериг, Тервел, Узово, Царевец, Шабла"
21.07.2024,"Балчик, Великово, Добрич, Каварна, Кранево, Крушари, Телериг"
20.07.2024,"Балчик, Българево, Владимирово, Врачанци, Добрич, Земенци, Каварна, Козлодуйци, Кранево, Крушари, Ново Ботево, Твърдица, Телериг"
19.07.2024,"Алцек, Балчик, Божаново, Воднянци, Вранино, Градини, Дебрене, Добрич, Дончево, Дропла, Жегларци, Житен, Земенци, Змеево, Зограф, Зърнево, Каварна, Калина, Кранево, Кремена, Крушари, Къпиново, Лясково, Ново Ботево, Оброчище, Паскалево, Пчеларово, Раковски, Рогачево, Северняк, Сенокос, Сноп, Стожер, Тервел, Тюленово, Узово, Хаджи Димитър, Хитово, Шабла"
18.07.2024,"Балчик, Божаново, Габер, Градини, Добрич, Дропла, Житен, Змеево, Зограф, Изворово, Каварна, Калина, Кладенци, Крушари, Малка Смолница, Овчарово, Пчеларово, Сенокос, Смолница, Сноп, Стефаново, Тервел, Узово, Шабла"
17.07.2024,"Балчик, Батово, Воднянци, Вранино, Врачанци, Добрево, Добрич, Долина, Дропла, Житен, Златия, Змеево, Каварна, Козлодуйци, Кремена, Крушари, Къпиново, Ломница, Люляково, Овчарово, Писарово, Пчелино, Свобода, Северци, Сенокос, Славеево, Сливенци, Твърдица, Царевец"
16.07.2024,"Балчик, Батово, Великово, Видно, Дебрене, Добрево, Добрич, Зимница, Изворово, Каварна, Калина, Кочмар, Крушари, Ломница, Люляково, Малина, Миладиновци, Оброчище, Овчарово, Писарово, Свобода, Северци, Сливенци, Тервел, Царевец"
15.07.2024,"Балчик, Бенковски, Богдан, Великово, Воднянци, Габер, Добрич, Житница, Каварна, Крушари, Къпиново, Лозенец, Люляково, Лясково, Малина, Малка Смолница, Оброчище, Паскалево, Рогачево, Смолница, Соколово, Твърдица, Тервел, Тригорци, Шабла"
14.07.2024,"Балчик, Габер, Добрич, Дропла, Змеево, Крушари, Рогачево, Сенокос, Стефаново"
13.07.2024,"Балик, Балчик, Добрич, Каварна, Орляк, Росен, Сенокос, Стефан Караджа, Стефаново, Стожер, Тервел, Тригорци"
12.07.2024,"Балчик, Бенковски, Добрич, Дончево, Драганово, Загорци, Кочмар, Краище, Крапец, Крушари, Къпиново, Опанец, Приморци, Стефаново, Стожер, Тервел, Шабла"
11.07.2024,"Александрия, Балчик, Великово, Горун, Добрево, Добрич, Дончево, Житница, Кочмар, Крушари, Лозенец, Малка Смолница, Пленимир, Пчелино, Славеево, Смолница, Спасово, Стефаново, Твърдица, Тервел, Шабла"
10.07.2024,"Балчик, Воднянци, Гешаново, Добрич, Житен, Каварна, Карапелит, Коларци, Кочмар, Крушари, Малка Смолница, Опанец, Паскалево, Подслон, Пчелино, Смолница, Спасово, Тервел, Черна"
09.07.2024,"Балчик, Вранино, Добрич, Каварна, Крушари, Лозенец, Малка Смолница, Орляк, Сливенци, Смолница, Соколово, Спасово, Тервел, Чернооково"
08.07.2024,"Балчик, Добрич, Житен, Каварна, Крушари, Могилище, Попгруево, Раковски, Сърнец, Тервел, Шабла"
07.07.2024,"Балчик, Добрич, Соколово, Шабла"
06.07.2024,"Добрич, Каварна, Стефаново, Топола"
05.07.2024,"Балчик, Горун, Добрич, Долина, Зимница, Каварна, Кладенци, Крушари, Къпиново, Нейково, Орлова могила, Пчелино, Раковски, Славеево, Соколово, Спасово, Тервел, Топола, Шабла"
04.07.2024,"Балчик, Вранино, Врачанци, Добрич, Змеево, Каварна, Козлодуйци, Коритен, Крушари, Методиево, Орлова могила, Тервел, Тянево, Шабла"
03.07.2024,"Абрит, Балик, Балчик, Вранино, Врачанци, Добрич, Каварна, Камен, Козлодуйци, Крушари, Лясково, Орляк, Пленимир, Росица, Свобода, Тервел, Царичино, Шабла"
02.07.2024,"Балик, Балчик, Бенковски, Врачанци, Добрич, Драганово, Дуранкулак, Изворово, Каварна, Козлодуйци, Крушари, Ловчанци, Методиево, Орляк, Рогозина, Росен, Спасово, Тервел, Топола, Шабла"
01.07.2024,"Балчик, Ваклино, Вранино, Врачанци, Горун, Добрич, Долина, Златия, Каварна, Крушари, Малка Смолница, Методиево, Пчеларово, Раковски, Рогачево, Росен, Северци, Смолница, Спасово, Тервел, Хаджи Димитър, Челопечене, Шабла"
30.06.2024,"Врачанци, Добрич, Изворово, Козлодуйци, Узово"
29.06.2024,"Балчик, Генерал Тошево, Добрич, Ефрейтор Бакалово, Крушари"
28.06.2024,"Абрит, Балчик, Безводица, Воднянци, Гешаново, Гурково, Добрич, Каварна, Крушари, Соколово, Спасово, Тервел, Църква, Челопечене"
27.06.2024,"Балчик, Безмер, Видно, Владимирово, Воднянци, Вранино, Врачанци, Горичане, Горун, Гурково, Добрич, Дъбовик, Иречек, Каварна, Камен, Камен бряг, Люляково, Орляк, Поручик Чунчево, Пролез, Свобода, Твърдица, Тервел, Челопечене, Шабла"
26.06.2024,"Балчик, Безводица, Видно, Вранино, Врачанци, Горичане, Гурково, Дебрене, Добрич, Иречек, Каварна, Кладенци, Козлодуйци, Коларци, Ловчанци, Малка Смолница, Миладиновци, Орляк, Паскалево, Пролез, Смолница, Сноп, Твърдица, Тервел, Хитово, Челопечене, Шабла"
25.06.2024,"Балик, Балчик, Бежаново, Гешаново, Добрич, Йовково, Каварна, Кранево, Крушари, Овчарово, Полковник Дяково, Приморци, Стражица, Твърдица, Тервел, Шабла"
24.06.2024,"Балчик, Батово, Божаново, Великово, Владимирово, Габер, Добрич, Каварна, Камен, Крушари, Огняново, Стожер, Тервел, Хитово, Царичино, Църква, Шабла"
23.06.2024,"Балчик, Габер, Дебрене, Добрич, Крушари"
22.06.2024,"Алцек, Воднянци, Дебрене, Добрич, Калина, Камен, Крапец, Лясково, Хитово, Шабла"
21.06.2024,"Александрия, Безводица, Божурово, Добрич, Долина, Дончево, Житница, Каварна, Кочмар, Крушари, Росеново, Тервел, Шабла"
20.06.2024,"Богдан, Божурово, Бонево, Войниково, Добрич, Дончево, Драганово, Каблешково, Каварна, Карапелит, Крушари, Нейково, Опанец, Поручик Кърджиево, Росеново, Тервел"
19.06.2024,"Балчик, Ведрина, Видно, Воднянци, Добрич, Драганово, Йовково, Каварна, Крушари, Нова Камена, Оброчище, Пчеларово, Пчелино, Телериг, Тервел, Тянево, Шабла"
18.06.2024,"Балчик, Божаново, Бранище, Врачанци, Добрич, Каварна, Козлодуйци, Крушари, Ловчанци, Ляхово, Миладиновци, Оброчище, Пленимир, Твърдица, Тервел, Шабла"
17.06.2024,"Балчик, Добрич, Каварна, Крушари, Люляково, Нейково, Одринци, Подслон, Пчелино, Сноп, Твърдица, Тянево, Черноморци, Шабла"
16.06.2024,"Балчик, Добрич, Дончево, Кранево"
15.06.2024,"Добрич, Котленци, Кочмар, Тервел"
14.06.2024,"Балчик, Белгун, Богдан, Добрич, Дропла, Каблешково, Каварна, Карапелит, Котленци, Могилище, Сноп, Стожер, Тервел"
13.06.2024,"Балчик, Безводица, Богдан, Великово, Градини, Добрич, Дончево, Драганово, Коритен, Котленци, Крушари, Люляково, Опанец, Сенокос, Славеево, Смолница, Тервел, Хитово, Чернооково"
12.06.2024,"Балчик, Българево, Войниково, Врачанци, Добрич, Драганово, Дъбовик, Каварна, Коларци, Крушари, Люляково, Орляк, Соколово, Тервел, Хитово, Шабла"
11.06.2024,"Балчик, Българево, Гурково, Добрево, Добрич, Дъбовик, Каварна, Крушари, Къпиново, Ломница, Овчарово, Одринци, Пленимир, Присад, Равнец, Раковски, Свобода, Северняк, Хаджи Димитър, Царевец, Чернооково, Шабла"
10.06.2024,"Александрия, Балчик, Ведрина, Добрич, Каварна, Крушари, Одринци, Победа, Росица, Тервел, Тригорци, Хаджи Димитър, Шабла"
08.06.2024,"Воднянци, Добрич"
07.06.2024,"Александрия, Балчик, Божурово, Великово, Дебрене, Добрич, Каварна, Кладенци, Крушари, Ловчанци, Поручик Чунчево, Телериг, Тервел, Тюленово, Шабла"
06.06.2024,"Балчик, Безводица, Божурец, Божурово, Градини, Добрич, Зимница, Каварна, Камен, Крагулево, Крушари, Лясково, Орляк, Паскалево, Плачидол, Победа, Росеново, Сенокос, Стефан Караджа, Телериг, Тервел, Топола, Царевец"
05.06.2024,"Балчик, Божурово, Добрич, Ефрейтор Бакалово, Зимница, Каварна, Крушари, Ловчанци, Лозница, Орляк, Поручик Чунчево, Росеново, Спасово, Телериг, Тервел"
04.06.2024,"Балчик, Божурово, Великово, Видно, Дебрене, Добрич, Каварна, Красен, Крушари, Лозенец, Оброчище, Росеново, Северци"
03.06.2024,"Балчик, Българево, Владимирово, Добрич, Дропла, Жегларци, Зимница, Йовково, Каварна, Калина, Красен, Крушари, Оброчище, Славеево, Твърдица, Телериг, Тервел, Шабла"
02.06.2024,Добрич
01.06.2024,"Добрич, Пленимир"
31.05.2024,"Балчик, Великово, Горичане, Добрич, Жегларци, Зърнево, Йовково, Кранево, Лозенец, Сноп, Соколово, Тервел, Шабла"
30.05.2024,"Балчик, Добрич, Житен, Змеево, Крушари, Победа, Рогачево, Северняк, Царичино, Шабла"
29.05.2024,"Балчик, Бранище, Добрич, Кладенци, Малка Смолница, Оброчище, Плачидол, Рогозина, Сираково, Смин, Смолница, Тервел, Шабла"
28.05.2024,"Безводица, Габер, Горун, Добрич, Дропла, Дъбрава, Житен, Змеево, Каварна, Капитан Димитрово, Карвуна, Кочмар, Кремена, Крушари, Ляхово, Оброчище, Плачидол, Сенокос, Септемврийци, Славеево, Спасово, Тервел, Храброво, Шабла"
27.05.2024,"Балчик, Великово, Владимирово, Добрич, Йовково, Каварна, Коритен, Кранево, Крушари, Лозенец, Пчеларово, Северци, Септемврийци, Шабла"
26.05.2024,"Дебрене, Добрич, Средина"
25.05.2024,"Балчик, Гурково, Добрич, Зърнево, Крушари, Лозенец, Северци, Тервел"
23.05.2024,"Бежаново, Дебрене, Добрич, Зърнево, Каварна, Камен, Камен бряг, Кочмар, Тервел, Тюленово, Шабла"
22.05.2024,"Балчик, Божурово, Дебрене, Добрич, Житен, Каварна, Кранево, Могилище, Оброчище, Рогачево, Църква"
21.05.2024,"Балчик, Ведрина, Добрич, Каварна, Коритен, Крушари, Раковски, Северняк, Тервел, Тянево, Храброво"
20.05.2024,"Балчик, Бенковски, Добрич, Карапелит, Красен, Крушари, Ломница, Малка Смолница, Рогачево, Северци, Смолница, Спасово, Твърдица, Тервел"
19.05.2024,"Добрич, Каварна, Крушари, Лозенец, Раковски, Северци"
18.05.2024,"Добрич, Каварна, Козлодуйци, Раковски"
17.05.2024,"Балчик, Добрич, Каварна, Крушари, Лозенец, Малка Смолница, Северци, Смолница, Узово, Църква"
16.05.2024,"Балканци, Балчик, Генерал Тошево, Дебрене, Добрич, Каварна, Кладенци, Крагулево, Красен, Крушари, Лозенец, Нова Камена, Паскалево, Северци, Соколово, Тервел, Топола, Тянево"
15.05.2024,"Балканци, Балчик, Добрич, Загорци, Каварна, Кладенци, Конаре, Красен, Крушари, Ловчанци, Лозенец, Мали извор, Миладиновци, Победа, Рогачево, Северци, Тервел"
14.05.2024,"Балчик, Безмер, Ведрина, Добрин, Добрич, Каварна, Козлодуйци, Кранево, Крушари, Лозенец, Овчарово, Северци, Спасово, Тервел, Храброво, Шабла"
13.05.2024,"Балик, Балчик, Дебрене, Добрич, Драганово, Зограф, Каварна, Крагулево, Крушари, Ловчанци, Лозенец, Малка Смолница, Миладиновци, Овчарово, Северци, Смолница, Соколово, Стефаново, Тервел, Топола"
12.05.2024,"Божурец, Добрич, Дончево, Каварна, Топола"
11.05.2024,"Божурец, Гешаново, Добрич, Каварна, Топола, Тюленово, Шабла"
10.05.2024,"Балчик, Безводица, Добрич, Драганово, Загорци, Каварна, Кранево, Крушари, Лозенец, Северци, Стефаново, Шабла"
09.05.2024,"Балчик, Великово, Вичово, Добрич, Каварна, Калина, Рогачево, Смолница, Стефаново, Шабла"
08.05.2024,"Балчик, Бобовец, Вичово, Добрич, Каварна, Карапелит, Крушари, Лозенец, Подслон, Рогачево, Северци, Соколово, Стражица, Тервел"
07.05.2024,"Балчик, Батово, Бежаново, Владимирово, Добрич, Каварна, Крушари, Ловчанци, Лозенец, Миладиновци, Одърци, Поручик Чунчево, Пчелино, Рогачево, Северци, Славеево, Сноп, Спасово, Сърнец, Тервел, Шабла"
06.05.2024,"Балчик, Добрич, Крушари, Ловчанци, Лозенец, Миладиновци, Рогачево, Северци"
05.05.2024,"Добрич, Крушари, Ловчанци, Лозенец, Миладиновци, Северци"
04.05.2024,"Генерал Тошево, Добрич, Крушари, Ловчанци, Лозенец, Миладиновци, Северци"
03.05.2024,"Балчик, Добрич, Каварна, Камен, Камен бряг, Крушари, Ловчанци, Лозенец, Миладиновци, Рогачево, Северци"
02.05.2024,"Балчик, Добрич, Жегларци, Крушари, Ловчанци, Лозенец, Миладиновци, Опанец, Рогачево, Северци, Тервел"
01.05.2024,"Балчик, Добрин, Добрич, Крушари, Лозенец, Миладиновци, Рогачево, Северци"
30.04.2024,"Балчик, Добрин, Добрич, Житница, Каварна, Кранево, Крушари, Рогачево, Тянево"
29.04.2024,"Балчик, Безводица, Дебрене, Добрич, Житен, Каварна, Кочмар, Крагулево, Крушари, Лозенец, Могилище, Рогачево, Северци, Тервел"
28.04.2024,"Дебрене, Добрич, Крушари, Лозенец, Северци"
27.04.2024,"Добрич, Крушари, Лозенец, Северци"
26.04.2024,"Балчик, Бранище, Видно, Гурково, Добрич, Каварна, Капитан Димитрово, Крагулево, Крушари, Лозенец, Оброчище, Северци, Смолница"
25.04.2024,"Балчик, Бенковски, Василево, Добрич, Дончево, Дъбрава, Енево, Загорци, Каварна, Калина, Крушари, Ловчанци, Лозенец, Медово, Паскалево, Северци, Сенокос, Тервел, Шабла"
24.04.2024,"Александрия, Балчик, Бенковски, Добрич, Енево, Житница, Каварна, Камен, Камен бряг, Крушари, Лозенец, Медово, Одринци, Северци, Тервел, Шабла"
23.04.2024,"Балчик, Бенковски, Българево, Ведрина, Гешаново, Добрич, Енево, Каварна, Карапелит, Крагулево, Крушари, Лозенец, Медово, Подслон, Попгригорово, Пролез, Пчелино, Рогачево, Свети Никола, Северци, Шабла"
22.04.2024,"Балчик, Бенковски, Божурец, Ведрина, Добрич, Дропла, Каварна, Крушари, Лозенец, Пчелино, Северци, Смин, Топола, Шабла"
21.04.2024,"Бенковски, Добрич, Енево, Крушари, Лозенец, Медово, Преселенци, Северци, Смин, Шабла"
20.04.2024,"Балчик, Бенковски, Добрич, Енево, Зърнево, Крушари, Лозенец, Медово, Северци, Тервел, Тюленово, Шабла"
19.04.2024,"Александрия, Балчик, Божаново, Ведрина, Дебрене, Добрич, Каварна, Красен, Крушари, Лозенец, Методиево, Паскалево, Пчелино, Северци, Септемврийци, Твърдица, Тервел, Шабла"
18.04.2024,"Балчик, Ведрина, Генерал Колево, Добрин, Добрич, Крушари, Лозенец, Северци, Стефаново, Тервел"
17.04.2024,"Александрия, Балчик, Божаново, Божурово, Ведрина, Добрич, Каварна, Крушари, Лозенец, Пчеларово, Рогозина, Северци, Соколово, Твърдица, Тервел, Топола, Тригорци, Царичино, Чернооково, Шабла"
16.04.2024,"Балчик, Бежаново, Божурово, Добрич, Житен, Житница, Каварна, Кранево, Крушари, Лозенец, Оброчище, Опанец, Северци, Тервел, Тюленово, Чернооково, Шабла"
15.04.2024,"Балчик, Бдинци, Добрич, Дончево, Житен, Каварна, Кочмар, Кранево, Крушари, Лозенец, Рогозина, Северци, Тервел, Тригорци, Тюленово, Шабла"
13.04.2024,"Врачанци, Добрич, Козлодуйци, Малка Смолница, Смолница"
12.04.2024,"Балик, Балчик, Безводица, Българево, Врачанци, Дебрене, Добрич, Земенци, Каварна, Карапелит, Козлодуйци, Крушари, Лозенец, Малка Смолница, Северци, Смолница, Соколово, Тервел, Царичино"
11.04.2024,"Балчик, Врачанци, Добрич, Житница, Каварна, Козлодуйци, Котленци, Крушари, Лозенец, Малка Смолница, Пчеларово, Северци, Септемврийци, Смин, Смолница, Соколово, Царевец, Шабла"
10.04.2024,"Балик, Балчик, Батово, Добрич, Каварна, Крушари, Лозенец, Одърци, Пчелино, Росен, Северци, Славеево, Смолница, Соколник, Соколово, Стефаново, Телериг, Тервел, Хаджи Димитър"
09.04.2024,"Александрия, Балчик, Бистрец, Божурово, Вранино, Добрич, Ефрейтор Бакалово, Загорци, Земенци, Изворово, Каварна, Коритен, Крушари, Лозенец, Овчарово, Огняново, Полковник Дяково, Росеново, Северци, Смолница, Соколово, Тервел, Тянево"
08.04.2024,"Балчик, Бонево, Българево, Войниково, Гурково, Добрич, Ефрейтор Бакалово, Изворово, Каблешково, Каварна, Кочмар, Крушари, Лозенец, Медово, Овчарово, Северци, Соколово, Тервел, Тригорци, Честименско"
07.04.2024,"Бонево, Войниково, Добрич, Захари Стояново, Каблешково, Каварна, Кочмар, Крушари, Лозенец, Северци, Смин, Тервел, Черноморци, Честименско, Шабла"
06.04.2024,"Балчик, Божурово, Врачанци, Дебрене, Добрич, Житница, Захари Стояново, Каварна, Крушари, Лозенец, Малка Смолница, Северци, Смолница, Стефаново, Черноморци, Шабла"
05.04.2024,"Балчик, Безмер, Брястово, Българево, Врачанци, Добрич, Захари Стояново, Зограф, Каварна, Конаре, Крушари, Лозенец, Орляк, Победа, Северци, Смин, Смолница, Тервел, Черноморци, Шабла"
04.04.2024,"Балчик, Бенковски, Богдан, Добрич, Дончево, Дъбовик, Каварна, Кранево, Крушари, Ловчанци, Лозенец, Рогачево, Северци, Селце, Тервел, Тянево"
03.04.2024,"Балчик, Добрич, Дъбовик, Кранево, Крушари, Лозенец, Северци, Смолница, Тервел, Тюленово, Шабла"
02.04.2024,"Балик, Балчик, Добрич, Долина, Каварна, Карапелит, Крушари, Лозенец, Ломница, Оброчище, Паскалево, Победа, Свобода, Северци, Спасово, Тервел, Топола, Шабла"
01.04.2024,"Балчик, Безмер, Владимирово, Горун, Добрич, Дъбовик, Зограф, Каварна, Кранево, Крушари, Лозенец, Лясково, Мали извор, Нейково, Паскалево, Победа, Северняк, Северци, Смолница, Тервел, Черна"
31.03.2024,"Балчик, Добрич, Дончево, Лясково, Паскалево, Победа, Соколово, Черна"
30.03.2024,"Балчик, Добрич, Дончево, Соколово"
29.03.2024,"Балчик, Бенковски, Вранино, Горичане, Гурково, Добрич, Енево, Каварна, Крапец, Крушари, Лозенец, Оброчище, Северци, Шабла"
28.03.2024,"Балчик, Бистрец, Владимирово, Врачанци, Добрич, Каблешково, Каварна, Козлодуйци, Крушари, Лозенец, Малка Смолница, Поручик Чунчево, Северци, Смолница, Снягово, Спасово, Тервел, Тригорци, Шабла"
27.03.2024,"Балчик, Ведрина, Видно, Добрич, Змеево, Зърнево, Каварна, Крушари, Лозенец, Методиево, Ново Ботево, Сноп, Снягово, Стожер, Тервел, Царичино"
26.03.2024,"Абрит, Александър Стамболийски, Добрич, Крушари, Лозенец, Ломница, Методиево, Овчарово, Победа, Пчелник, Спасово, Царевец"
25.03.2024,"Балчик, Бистрец, Добрич, Житница, Каварна, Крушари, Лозенец, Методиево, Плачидол, Пчелник, Соколово, Тервел, Царичино"
24.03.2024,"Балчик, Граничар, Добрич, Крушари, Лозенец, Методиево, Соколово, Тервел, Шабла"
23.03.2024,"Добрич, Крушари, Лозенец, Методиево, Тервел"
22.03.2024,"Александрия, Балчик, Горичане, Добрич, Каварна, Крушари, Лозенец, Методиево, Плачидол, Пчеларово, Спасово, Стражица, Тервел, Хаджи Димитър, Шабла"
21.03.2024,"Балчик, Батово, Божурово, Владимирово, Врачанци, Добрич, Дуранкулак, Каварна, Камен, Камен бряг, Козлодуйци, Крушари, Лозенец, Малка Смолница, Оброчище, Свобода, Смолница, Шабла"
20.03.2024,"Бонево, Добрич, Зърнево, Каблешково, Каварна, Кочмар, Крушари, Свобода, Северняк, Смолница, Тервел, Шабла"
19.03.2024,"Балик, Балчик, Бистрец, Богдан, Добрич, Долина, Каварна, Карапелит, Крушари, Селце, Средина, Стражица, Тервел, Хаджи Димитър, Църква"
18.03.2024,"Александрия, Балик, Балчик, Врачанци, Дебрене, Добрич, Долина, Дъбовик, Зърнево, Йовково, Кранево, Крушари, Ловчанци, Миладиновци, Преселенци, Тервел, Храброво, Шабла"
17.03.2024,"Дебрене, Добрич, Дончево"
16.03.2024,"Балик, Балчик, Бонево, Владимирово, Добрич, Каблешково, Кочмар, Тервел"
15.03.2024,"Балчик, Бонево, Добрич, Зограф, Каблешково, Кочмар, Кранево, Крушари, Овчарово, Преселенци, Пчеларово, Северци, Тервел"
14.03.2024,"Балчик, Врачанци, Добрич, Зимница, Каварна, Козлодуйци, Кранево, Крушари, Лозенец, Овчарово, Раковски, Северци, Смолница, Тервел, Шабла"
13.03.2024,"Балканци, Балчик, Батово, Бдинци, Владимирово, Вратарите, Горун, Добрич, Зърнево, Камен, Камен бряг, Кранево, Красен, Крушари, Раковски, Самуилово, Свобода, Тервел, Тюленово, Шабла"
12.03.2024,"Балканци, Балчик, Бдинци, Божурово, Ведрина, Владимирово, Врачанци, Горун, Добрево, Добрич, Змеево, Йовково, Каварна, Камен, Камен бряг, Кардам, Крушари, Ломница, Методиево, Овчарово, Паскалево, Победа, Преселенци, Раковски, Росеново, Самуилово, Свобода, Северняк, Сливенци, Соколово, Тюленово, Царевец, Шабла"
11.03.2024,"Александрия, Балчик, Добрич, Дъбовик, Каварна, Кардам, Кранево, Красен, Крушари, Самуилово, Сенокос"
09.03.2024,"Добрич, Дончево"
08.03.2024,"Балчик, Батово, Божан, Добрич, Каварна, Кладенци, Тервел"
07.03.2024,"Ангеларий, Балчик, Добрич, Каварна, Крушари, Паскалево, Присад, Пролез, Пчеларово, Славеево, Тервел, Хаджи Димитър, Шабла"
06.03.2024,"Балик, Батово, Добрич, Езерец, Каварна, Крапец, Пчелино, Пчелник, Спасово, Челопечене, Шабла"
05.03.2024,"Балканци, Балчик, Белгун, Божан, Ведрина, Дебрене, Добрич, Дропла, Езерец, Житница, Каварна, Крапец, Крушари, Попгруево, Северци, Сноп, Тервел, Тянево, Шабла"
04.03.2024,"Белгун, Божан, Добрич, Каварна, Попгруево, Тервел"
04.03.2024,"Божан, Добрич, Попгруево, Тервел"
03.03.2024,"Балчик, Божан, Добрич, Тервел"
02.03.2024,"Балчик, Божан, Добрич, Попгруево, Тервел"
01.03.2024,"Абрит, Балчик, Ведрина, Гурково, Гуслар, Добрич, Каварна, Красен, Крушари, Попгруево, Пчелино, Смолница, Телериг, Тервел, Шабла"
29.02.2024,"Балчик, Богдан, Божан, Генерал Колево, Добрич, Дончево, Драганово, Енево, Змеево, Каварна, Крушари, Лясково, Опанец, Полковник Дяково, Смин, Спасово, Тервел, Шабла"
